Category,Coach,Pixel ID,Course Code,Course Name,L1 Slug,L2 Slug,L3 Slug,L4 Slug,L1 Tag,PRO Tag,CF L1 SKU,CF PRO SKU,Sales Page Slug,Checkout Slug,OTO 1 Slug,Thank You Page Slug,L1 Price,PRO Price,Status,Tier,Priority
SENIOR & END-OF-LIFE,Olivia,OliviaGriefEndoflife,GL012,Certified End-of-Life Doula Specialist™,end-of-life-doula-specialist,gl012-pro-advanced,gl012-pro-master,gl012-pro-practice,end_of_life_doula_specialist_purchased,gl012_pro_accelerator_purchased,end-of-life-doula-specialist-certification,gl012-pro-accelerator,end-of-life-doula-specialist-certification,checkout-end-of-life-doula-specialist,oto-gl012-pro-accelerator,thank-you-end-of-life-doula-specialist,97,397,GENERATE NOW,FRONTEND,49
SENIOR & END-OF-LIFE,Olivia,OliviaGriefEndoflife,GL013,Certified Grief & Loss Specialist™,grief-and-loss-specialist,gl013-pro-advanced,gl013-pro-master,gl013-pro-practice,grief_and_loss_specialist_purchased,gl013_pro_accelerator_purchased,grief-and-loss-specialist-certification,gl013-pro-accelerator,grief-and-loss-specialist-certification,checkout-grief-and-loss-specialist,oto-gl013-pro-accelerator,thank-you-grief-and-loss-specialist,97,397,GENERATE NOW,FRONTEND,15
NARCISSISTIC ABUSE & RELATIONSHIP TRAUMA,Olivia,OliviaNarcTrauma,NT007,Certified Codependency Recovery Specialist™,codependency-recovery-specialist,nt007-pro-advanced,nt007-pro-master,nt007-pro-practice,codependency_recovery_specialist_purchased,nt007_pro_accelerator_purchased,codependency-recovery-specialist-certification,nt007-pro-accelerator,codependency-recovery-specialist-certification,checkout-codependency-recovery-specialist,oto-nt007-pro-accelerator,thank-you-codependency-recovery-specialist,97,397,GENERATE NOW,FRONTEND,11
TRAUMA RECOVERY,Olivia,OliviaNarcTrauma,NT010,Certified Complex PTSD Specialist™,complex-ptsd-specialist,nt010-pro-advanced,nt010-pro-master,nt010-pro-practice,complex_ptsd_specialist_purchased,nt010_pro_accelerator_purchased,complex-ptsd-specialist-certification,nt010-pro-accelerator,complex-ptsd-specialist-certification,checkout-complex-ptsd-specialist,oto-nt010-pro-accelerator,thank-you-complex-ptsd-specialist,97,397,WEEK 3,QUICKWIN,58
TRAUMA RECOVERY,Olivia,OliviaNarcTrauma,NT011,Certified Covert Narcissism Specialist™,covert-narcissism-specialist,nt011-pro-advanced,nt011-pro-master,nt011-pro-practice,covert_narcissism_specialist_purchased,nt011_pro_accelerator_purchased,covert-narcissism-specialist-certification,nt011-pro-accelerator,covert-narcissism-specialist-certification,checkout-covert-narcissism-specialist,oto-nt011-pro-accelerator,thank-you-covert-narcissism-specialist,97,397,WEEK 3,QUICKWIN,59
TRAUMA RECOVERY,Olivia,OliviaNarcTrauma,NT061,Certified EMDR-Informed Trauma Specialist™,emdr-informed-trauma-specialist,nt061-pro-advanced,nt061-pro-master,nt061-pro-practice,emdr_informed_trauma_specialist_purchased,nt061_pro_accelerator_purchased,emdr-informed-trauma-specialist-certification,nt061-pro-accelerator,emdr-informed-trauma-specialist-certification,checkout-emdr-informed-trauma-specialist,oto-nt061-pro-accelerator,thank-you-emdr-informed-trauma-specialist,97,397,WEEK 3,QUICKWIN,61
TRAUMA RECOVERY,Olivia,OliviaNarcTrauma,NT060,Certified Inner Child Healing Specialist™,inner-child-healing-specialist,nt060-pro-advanced,nt060-pro-master,nt060-pro-practice,inner_child_healing_specialist_purchased,nt060_pro_accelerator_purchased,inner-child-healing-specialist-certification,nt060-pro-accelerator,inner-child-healing-specialist-certification,checkout-inner-child-healing-specialist,oto-nt060-pro-accelerator,thank-you-inner-child-healing-specialist,97,397,WEEK 3,QUICKWIN,60
NARCISSISTIC ABUSE & RELATIONSHIP TRAUMA,Olivia,OliviaNarcTrauma,NT040,Certified Narcissistic Abuse Recovery Specialist™,narcissistic-abuse-recovery-specialist,nt040-pro-advanced,nt040-pro-master,nt040-pro-practice,narcissistic_abuse_recovery_specialist_purchased,nt040_pro_accelerator_purchased,narcissistic-abuse-recovery-specialist-certification,nt040-pro-accelerator,narcissistic-abuse-recovery-specialist-certification,checkout-narcissistic-abuse-recovery-specialist,oto-nt040-pro-accelerator,thank-you-narcissistic-abuse-recovery-specialist,97,397,GENERATE NOW,FRONTEND,9
TRAUMA RECOVERY,Olivia,OliviaNarcTrauma,NT045,Certified Religious Trauma Specialist™,religious-trauma-specialist,nt045-pro-advanced,nt045-pro-master,nt045-pro-practice,religious_trauma_specialist_purchased,nt045_pro_accelerator_purchased,religious-trauma-specialist-certification,nt045-pro-accelerator,religious-trauma-specialist-certification,checkout-religious-trauma-specialist,oto-nt045-pro-accelerator,thank-you-religious-trauma-specialist,97,397,WEEK 3,QUICKWIN,63
TRAUMA RECOVERY,Olivia,OliviaNarcTrauma,NT056,Certified Trauma Bond Breaking Specialist™,trauma-bond-breaking-specialist,nt056-pro-advanced,nt056-pro-master,nt056-pro-practice,trauma_bond_breaking_specialist_purchased,nt056_pro_accelerator_purchased,trauma-bond-breaking-specialist-certification,nt056-pro-accelerator,trauma-bond-breaking-specialist-certification,checkout-trauma-bond-breaking-specialist,oto-nt056-pro-accelerator,thank-you-trauma-bond-breaking-specialist,97,397,WEEK 3,QUICKWIN,62
MENTAL HEALTH & NERVOUS SYSTEM,Olivia,OliviaNeurodiversity,ND002,Certified ADHD Support Specialist™,adhd-support-specialist,nd002-pro-advanced,nd002-pro-master,nd002-pro-practice,adhd_support_specialist_purchased,nd002_pro_accelerator_purchased,adhd-support-specialist-certification,nd002-pro-accelerator,adhd-support-specialist-certification,checkout-adhd-support-specialist,oto-nd002-pro-accelerator,thank-you-adhd-support-specialist,97,397,GENERATE NOW,FRONTEND,12
MENTAL HEALTH,Olivia,OliviaNeurodiversity,ND089,Certified Attachment Theory Specialist™,attachment-theory-specialist,nd089-pro-advanced,nd089-pro-master,nd089-pro-practice,attachment_theory_specialist_purchased,nd089_pro_accelerator_purchased,attachment-theory-specialist-certification,nd089-pro-accelerator,attachment-theory-specialist-certification,checkout-attachment-theory-specialist,oto-nd089-pro-accelerator,thank-you-attachment-theory-specialist,97,397,WEEK 3,QUICKWIN,67
MENTAL HEALTH,Olivia,OliviaNeurodiversity,ND010,Certified Autism Level 1 Support Specialist™,autism-level-1-support-specialist,nd010-pro-advanced,nd010-pro-master,nd010-pro-practice,autism_level_1_support_specialist_purchased,nd010_pro_accelerator_purchased,autism-level-1-support-specialist-certification,nd010-pro-accelerator,autism-level-1-support-specialist-certification,checkout-autism-level-1-support-specialist,oto-nd010-pro-accelerator,thank-you-autism-level-1-support-specialist,97,397,WEEK 3,QUICKWIN,65
MENTAL HEALTH & NERVOUS SYSTEM,Olivia,OliviaNeurodiversity,ND019,Certified Burnout & Stress Recovery Specialist™,burnout-and-stress-recovery-specialist,nd019-pro-advanced,nd019-pro-master,nd019-pro-practice,burnout_and_stress_recovery_specialist_purchased,nd019_pro_accelerator_purchased,burnout-and-stress-recovery-specialist-certification,nd019-pro-accelerator,burnout-and-stress-recovery-specialist-certification,checkout-burnout-and-stress-recovery-specialist,oto-nd019-pro-accelerator,thank-you-burnout-and-stress-recovery-specialist,97,397,GENERATE NOW,FRONTEND,50
EMOTIONAL & HOLISTIC WELLNESS,Olivia,OliviaNeurodiversity,ND036,Certified Emotional Resilience Specialist™,emotional-resilience-specialist,nd036-pro-advanced,nd036-pro-master,nd036-pro-practice,emotional_resilience_specialist_purchased,nd036_pro_accelerator_purchased,emotional-resilience-specialist-certification,nd036-pro-accelerator,emotional-resilience-specialist-certification,checkout-emotional-resilience-specialist,oto-nd036-pro-accelerator,thank-you-emotional-resilience-specialist,97,397,GENERATE NOW,FRONTEND,51
MENTAL HEALTH,Olivia,OliviaNeurodiversity,ND037,Certified Executive Function Specialist™,executive-function-specialist,nd037-pro-advanced,nd037-pro-master,nd037-pro-practice,executive_function_specialist_purchased,nd037_pro_accelerator_purchased,executive-function-specialist-certification,nd037-pro-accelerator,executive-function-specialist-certification,checkout-executive-function-specialist,oto-nd037-pro-accelerator,thank-you-executive-function-specialist,97,397,WEEK 3,QUICKWIN,68
EMOTIONAL & HOLISTIC WELLNESS,Olivia,OliviaNeurodiversity,ND043,Certified Inner Child Healing Specialist™,inner-child-healing-specialist,nd043-pro-advanced,nd043-pro-master,nd043-pro-practice,inner_child_healing_specialist_purchased,nd043_pro_accelerator_purchased,inner-child-healing-specialist-certification,nd043-pro-accelerator,inner-child-healing-specialist-certification,checkout-inner-child-healing-specialist,oto-nd043-pro-accelerator,thank-you-inner-child-healing-specialist,97,397,WEEK 3,QUICKWIN,60
MENTAL HEALTH,Olivia,OliviaNeurodiversity,ND044,Certified Intuitive Eating Specialist™,intuitive-eating-specialist,nd044-pro-advanced,nd044-pro-master,nd044-pro-practice,intuitive_eating_specialist_purchased,nd044_pro_accelerator_purchased,intuitive-eating-specialist-certification,nd044-pro-accelerator,intuitive-eating-specialist-certification,checkout-intuitive-eating-specialist,oto-nd044-pro-accelerator,thank-you-intuitive-eating-specialist,97,397,GENERATE NOW,FRONTEND,52
MENTAL HEALTH,Olivia,OliviaNeurodiversity,ND047,Certified Masking & Burnout Specialist™,masking-and-burnout-specialist,nd047-pro-advanced,nd047-pro-master,nd047-pro-practice,masking_and_burnout_specialist_purchased,nd047_pro_accelerator_purchased,masking-and-burnout-specialist-certification,nd047-pro-accelerator,masking-and-burnout-specialist-certification,checkout-masking-and-burnout-specialist,oto-nd047-pro-accelerator,thank-you-masking-and-burnout-specialist,97,397,GENERATE NOW,FRONTEND,53
MENTAL HEALTH & NERVOUS SYSTEM,Olivia,OliviaNeurodiversity,ND054,Certified Nervous System Regulation Specialist™,nervous-system-regulation-specialist,nd054-pro-advanced,nd054-pro-master,nd054-pro-practice,nervous_system_regulation_specialist_purchased,nd054_pro_accelerator_purchased,nervous-system-regulation-specialist-certification,nd054-pro-accelerator,nervous-system-regulation-specialist-certification,checkout-nervous-system-regulation-specialist,oto-nd054-pro-accelerator,thank-you-nervous-system-regulation-specialist,97,397,GENERATE NOW,FRONTEND,14
MENTAL HEALTH,Olivia,OliviaNeurodiversity,ND058,Certified OCD Recovery Specialist™,ocd-recovery-specialist,nd058-pro-advanced,nd058-pro-master,nd058-pro-practice,ocd_recovery_specialist_purchased,nd058_pro_accelerator_purchased,ocd-recovery-specialist-certification,nd058-pro-accelerator,ocd-recovery-specialist-certification,checkout-ocd-recovery-specialist,oto-nd058-pro-accelerator,thank-you-ocd-recovery-specialist,97,397,WEEK 3,QUICKWIN,64
MENTAL HEALTH,Olivia,OliviaNeurodiversity,ND088,Certified Polyvagal Theory Specialist™,polyvagal-theory-specialist,nd088-pro-advanced,nd088-pro-master,nd088-pro-practice,polyvagal_theory_specialist_purchased,nd088_pro_accelerator_purchased,polyvagal-theory-specialist-certification,nd088-pro-accelerator,polyvagal-theory-specialist-certification,checkout-polyvagal-theory-specialist,oto-nd088-pro-accelerator,thank-you-polyvagal-theory-specialist,97,397,WEEK 3,QUICKWIN,66
HERBALISM & PLANT MEDICINE,Sage,SageHerbalism,HB002,Certified Cannabis & CBD Wellness Coach™,cannabis-and-cbd-wellness-coach,hb002-pro-advanced,hb002-pro-master,hb002-pro-practice,cannabis_and_cbd_wellness_coach_purchased,hb002_pro_accelerator_purchased,cannabis-and-cbd-wellness-coach-certification,hb002-pro-accelerator,cannabis-and-cbd-wellness-coach-certification,checkout-cannabis-and-cbd-wellness-coach,oto-hb002-pro-accelerator,thank-you-cannabis-and-cbd-wellness-coach,97,397,GENERATE NOW,FRONTEND,66
HERBALISM & PLANT MEDICINE,Sage,SageHerbalism,HB010,Certified Herbal Stress & Adaptogenic Coach™,herbal-stress-and-adaptogenic-coach,hb010-pro-advanced,hb010-pro-master,hb010-pro-practice,herbal_stress_and_adaptogenic_coach_purchased,hb010_pro_accelerator_purchased,herbal-stress-and-adaptogenic-coach-certification,hb010-pro-accelerator,herbal-stress-and-adaptogenic-coach-certification,checkout-herbal-stress-and-adaptogenic-coach,oto-hb010-pro-accelerator,thank-you-herbal-stress-and-adaptogenic-coach,97,397,GENERATE NOW,FRONTEND,67
CLINICAL CONDITIONS,Sarah,SarahFunctionalMedicine,FM001,Certified AIP (Autoimmune Protocol) Specialist™,aip-autoimmune-protocol-specialist,fm001-pro-advanced,fm001-pro-master,fm001-pro-practice,aip_autoimmune_protocol_specialist_purchased,fm001_pro_accelerator_purchased,aip-autoimmune-protocol-specialist-certification,fm001-pro-accelerator,aip-autoimmune-protocol-specialist-certification,checkout-aip-autoimmune-protocol-specialist,oto-fm001-pro-accelerator,thank-you-aip-autoimmune-protocol-specialist,97,397,WEEK 2,QUICKWIN,51
DIET & NUTRITION APPROACHES,Sarah,SarahFunctionalMedicine,FM024,Certified Carnivore Diet Specialist™,carnivore-diet-specialist,fm024-pro-advanced,fm024-pro-master,fm024-pro-practice,carnivore_diet_specialist_purchased,fm024_pro_accelerator_purchased,carnivore-diet-specialist-certification,fm024-pro-accelerator,carnivore-diet-specialist-certification,checkout-carnivore-diet-specialist,oto-fm024-pro-accelerator,thank-you-carnivore-diet-specialist,97,397,WEEK 2,QUICKWIN,48
CLINICAL CONDITIONS,Sarah,SarahFunctionalMedicine,FM040,Certified Clinical Hashimoto's Thyroiditis Specialist™,clinical-hashimotos-thyroiditis-specialist,fm040-pro-advanced,fm040-pro-master,fm040-pro-practice,clinical_hashimotos_thyroiditis_specialist_purchased,fm040_pro_accelerator_purchased,clinical-hashimotos-thyroiditis-specialist-certification,fm040-pro-accelerator,clinical-hashimotos-thyroiditis-specialist-certification,checkout-clinical-hashimotos-thyroiditis-specialist,oto-fm040-pro-accelerator,thank-you-clinical-hashimotos-thyroiditis-specialist,97,397,WEEK 2,QUICKWIN,45
CLINICAL CONDITIONS,Sarah,SarahFunctionalMedicine,FM041,Certified Clinical SIBO Specialist™,clinical-sibo-specialist,fm041-pro-advanced,fm041-pro-master,fm041-pro-practice,clinical_sibo_specialist_purchased,fm041_pro_accelerator_purchased,clinical-sibo-specialist-certification,fm041-pro-accelerator,clinical-sibo-specialist-certification,checkout-clinical-sibo-specialist,oto-fm041-pro-accelerator,thank-you-clinical-sibo-specialist,97,397,WEEK 2,QUICKWIN,44
FUNCTIONAL MEDICINE,Sarah,SarahFunctionalMedicine,FM078,Certified Functional Medicine Practitioner™,functional-medicine-practitioner,fm078-pro-advanced,fm078-pro-master,fm078-pro-practice,functional_medicine_practitioner_purchased,fm078_pro_accelerator_purchased,functional-medicine-practitioner-certification,fm078-pro-accelerator,functional-medicine-practitioner-certification,checkout-functional-medicine-practitioner,oto-fm078-pro-accelerator,thank-you-functional-medicine-practitioner,97,397,GENERATE NOW,FRONTEND,1
FUNCTIONAL MEDICINE,Sarah,SarahFunctionalMedicine,FM108,Certified Holistic Nutrition Specialist™,holistic-nutrition-specialist,fm108-pro-advanced,fm108-pro-master,fm108-pro-practice,holistic_nutrition_specialist_purchased,fm108_pro_accelerator_purchased,holistic-nutrition-specialist-certification,fm108-pro-accelerator,holistic-nutrition-specialist-certification,checkout-holistic-nutrition-specialist,oto-fm108-pro-accelerator,thank-you-holistic-nutrition-specialist,97,397,GENERATE NOW,FRONTEND,54
