Category,Coach,Pixel ID,Course Code,Course Name,L1 Slug,L2 Slug,L3 Slug,L4 Slug,L1 Tag,PRO Tag,CF L1 SKU,CF PRO SKU,Sales Page Slug,Checkout Slug,OTO 1 Slug,Thank You Page Slug,L1 Price,PRO Price,Status
"EQUINE, ANIMAL-ASSISTED & NATURE THERAPY",Bella,BellaPetWellness,EA149,Certified Farm-Based Therapy Coach™,farm-based-therapy,ea149-pro-advanced,ea149-pro-master,ea149-pro-practice,farm_based_therapy_purchased,ea149_pro_accelerator_purchased,farm-based-therapy-certification,ea149-pro-accelerator,farm-based-therapy-certification,checkout-farm-based-therapy,oto-ea149-pro-accelerator,thank-you-farm-based-therapy,97,397,NOT LAUNCHED
PET WELLNESS,Bella,BellaPetWellness,PW009,Certified Fear-Free Pet Handling Specialist™,fear-free-pet,,,,,,,,,,,,97,397,NOT LAUNCHED
PET WELLNESS,Bella,BellaPetWellness,PW017,Certified Multi-Pet Household Specialist™,multi-pet,,,,,,,,,,,,97,397,NOT LAUNCHED
"EQUINE, ANIMAL-ASSISTED & NATURE THERAPY",Bella,BellaPetWellness,EA144,Certified Nature Therapy & Ecotherapy Coach™,nature-therapy-ecotherapy,ea144-pro-advanced,ea144-pro-master,ea144-pro-practice,nature_therapy_ecotherapy_purchased,ea144_pro_accelerator_purchased,nature-therapy-ecotherapy-certification,ea144-pro-accelerator,nature-therapy-ecotherapy-certification,checkout-nature-therapy-ecotherapy,oto-ea144-pro-accelerator,thank-you-nature-therapy-ecotherapy,97,397,NOT LAUNCHED
PET WELLNESS,Bella,BellaPetWellness,PW018,Certified Pet & Baby Safety Specialist™,pet-baby-safety,,,,,,,,,,,,97,397,NOT LAUNCHED
PET WELLNESS,Bella,BellaPetWellness,PW003,Certified Pet Allergy Specialist™,pet-allergy,,,,,,,,,,,,97,397,NOT LAUNCHED
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW412,Certified Pet Anxiety Coach™,pet-anxiety,pw412-pro-advanced,pw412-pro-master,pw412-pro-practice,pet_anxiety_purchased,pw412_pro_accelerator_purchased,pet-anxiety-certification,pw412-pro-accelerator,pet-anxiety-certification,checkout-pet-anxiety,oto-pw412-pro-accelerator,thank-you-pet-anxiety,97,397,NOT LAUNCHED
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW409,Certified Pet Behavior Coach™,pet-behavior,pw409-pro-advanced,pw409-pro-master,pw409-pro-practice,pet_behavior_purchased,pw409_pro_accelerator_purchased,pet-behavior-certification,pw409-pro-accelerator,pet-behavior-certification,checkout-pet-behavior,oto-pw409-pro-accelerator,thank-you-pet-behavior,97,397,NOT LAUNCHED
PET WELLNESS,Bella,BellaPetWellness,PW006,Certified Pet CBD & Hemp Specialist™,pet-cbd,,,,,,,,,,,,97,397,NOT LAUNCHED
PET WELLNESS,Bella,BellaPetWellness,PW004,Certified Pet Cancer Support Specialist™,pet-cancer,,,,,,,,,,,,97,397,NOT LAUNCHED
PET WELLNESS,Bella,BellaPetWellness,PW010,Certified Pet End-of-Life Doula™,pet-end-of-life,,,,,,,,,,,,97,397,NOT LAUNCHED
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW413,Certified Pet Grief Coach™,pet-grief,pw413-pro-advanced,pw413-pro-master,pw413-pro-practice,pet_grief_purchased,pw413_pro_accelerator_purchased,pet-grief-certification,pw413-pro-accelerator,pet-grief-certification,checkout-pet-grief,oto-pw413-pro-accelerator,thank-you-pet-grief,97,397,NOT LAUNCHED
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW420,Certified Pet Herbalist™,pet-herbalist,pw420-pro-advanced,pw420-pro-master,pw420-pro-practice,pet_herbalist_purchased,pw420_pro_accelerator_purchased,pet-herbalist-certification,pw420-pro-accelerator,pet-herbalist-certification,checkout-pet-herbalist,oto-pw420-pro-accelerator,thank-you-pet-herbalist,97,397,NOT LAUNCHED
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW414,Certified Pet Hospice Coach™,pet-hospice,pw414-pro-advanced,pw414-pro-master,pw414-pro-practice,pet_hospice_purchased,pw414_pro_accelerator_purchased,pet-hospice-certification,pw414-pro-accelerator,pet-hospice-certification,checkout-pet-hospice,oto-pw414-pro-accelerator,thank-you-pet-hospice,97,397,NOT LAUNCHED
PET WELLNESS,Bella,BellaPetWellness,PW011,Certified Pet Loss Grief Coach™,pet-loss-grief,,,,,,,,,,,,97,397,NOT LAUNCHED
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW406,Certified Pet Nutrition Coach™,pet-nutrition,pw406-pro-advanced,pw406-pro-master,pw406-pro-practice,pet_nutrition_purchased,pw406_pro_accelerator_purchased,pet-nutrition-certification,pw406-pro-accelerator,pet-nutrition-certification,checkout-pet-nutrition,oto-pw406-pro-accelerator,thank-you-pet-nutrition,97,397,NOT LAUNCHED
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW418,Certified Pet Reiki Practitioner™,pet-reiki-practitioner,pw418-pro-advanced,pw418-pro-master,pw418-pro-practice,pet_reiki_practitioner_purchased,pw418_pro_accelerator_purchased,pet-reiki-practitioner-certification,pw418-pro-accelerator,pet-reiki-practitioner-certification,checkout-pet-reiki-practitioner,oto-pw418-pro-accelerator,thank-you-pet-reiki-practitioner,97,397,NOT LAUNCHED
PET WELLNESS,Bella,BellaPetWellness,PW007,Certified Pet Separation Anxiety Specialist™,pet-separation-anxiety,,,,,,,,,,,,97,397,NOT LAUNCHED
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW416,Certified Pet Weight Loss Coach™,pet-weight-loss,pw416-pro-advanced,pw416-pro-master,pw416-pro-practice,pet_weight_loss_purchased,pw416_pro_accelerator_purchased,pet-weight-loss-certification,pw416-pro-accelerator,pet-weight-loss-certification,checkout-pet-weight-loss,oto-pw416-pro-accelerator,thank-you-pet-weight-loss,97,397,NOT LAUNCHED
PET WELLNESS,Bella,BellaPetWellness,PW014,Certified Rabbit & Guinea Pig Specialist™,rabbit-guinea-pig,,,,,,,,,,,,97,397,NOT LAUNCHED
PET WELLNESS,Bella,BellaPetWellness,PW001,Certified Raw Feeding Dog Specialist™,raw-feeding-dog,,,,,,,,,,,,97,397,NOT LAUNCHED
PET WELLNESS,Bella,BellaPetWellness,PW008,Certified Reactive Dog Specialist™,reactive-dog,,,,,,,,,,,,97,397,NOT LAUNCHED
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW415,Certified Senior Pet Care Coach™,senior-pet-care,pw415-pro-advanced,pw415-pro-master,pw415-pro-practice,senior_pet_care_purchased,pw415_pro_accelerator_purchased,senior-pet-care-certification,pw415-pro-accelerator,senior-pet-care-certification,checkout-senior-pet-care,oto-pw415-pro-accelerator,thank-you-senior-pet-care,97,397,NOT LAUNCHED
PET WELLNESS,Bella,BellaPetWellness,PW005,Certified Senior Pet Wellness Specialist™,senior-pet,,,,,,,,,,,,97,397,NOT LAUNCHED
PET WELLNESS,Bella,BellaPetWellness,PW019,Certified Service Dog Handler Coach™,service-dog,,,,,,,,,,,,97,397,NOT LAUNCHED
PET WELLNESS,Bella,BellaPetWellness,PW013,Certified Small Animal Wellness Specialist™,small-animal,,,,,,,,,,,,97,397,NOT LAUNCHED
PET WELLNESS,Bella,BellaPetWellness,PW002,Certified Species-Appropriate Cat Diet Specialist™,cat-diet,,,,,,,,,,,,97,397,NOT LAUNCHED
"EQUINE, ANIMAL-ASSISTED & NATURE THERAPY",Bella,BellaPetWellness,EA145,Certified Therapeutic Horsework Coach™,therapeutic-horsework,ea145-pro-advanced,ea145-pro-master,ea145-pro-practice,therapeutic_horsework_purchased,ea145_pro_accelerator_purchased,therapeutic-horsework-certification,ea145-pro-accelerator,therapeutic-horsework-certification,checkout-therapeutic-horsework,oto-ea145-pro-accelerator,thank-you-therapeutic-horsework,97,397,NOT LAUNCHED
"EQUINE, ANIMAL-ASSISTED & NATURE THERAPY",Bella,BellaPetWellness,EA148,Certified Wildlife & Adventure Therapy Coach™,wildlife-adventure-therapy,ea148-pro-advanced,ea148-pro-master,ea148-pro-practice,wildlife_adventure_therapy_purchased,ea148_pro_accelerator_purchased,wildlife-adventure-therapy-certification,ea148-pro-accelerator,wildlife-adventure-therapy-certification,checkout-wildlife-adventure-therapy,oto-ea148-pro-accelerator,thank-you-wildlife-adventure-therapy,97,397,NOT LAUNCHED
"FERTILITY, BIRTH & POSTPARTUM",Emma,EmmaFertilityBirth,FB256,Certified Birth Doula Coach™,birth-doula,fb256-pro-advanced,fb256-pro-master,fb256-pro-practice,birth_doula_purchased,fb256_pro_accelerator_purchased,birth-doula-certification,fb256-pro-accelerator,birth-doula-certification,checkout-birth-doula,oto-fb256-pro-accelerator,thank-you-birth-doula,97,397,NOT LAUNCHED
"FERTILITY, BIRTH & POSTPARTUM",Emma,EmmaFertilityBirth,FB259,Certified Birth Trauma Recovery Coach™,birth-trauma-recovery,fb259-pro-advanced,fb259-pro-master,fb259-pro-practice,birth_trauma_recovery_purchased,fb259_pro_accelerator_purchased,birth-trauma-recovery-certification,fb259-pro-accelerator,birth-trauma-recovery-certification,checkout-birth-trauma-recovery,oto-fb259-pro-accelerator,thank-you-birth-trauma-recovery,97,397,NOT LAUNCHED
"FERTILITY, BIRTH & POSTPARTUM",Emma,EmmaFertilityBirth,FB258,Certified Breastfeeding Support Coach™,breastfeeding-support,fb258-pro-advanced,fb258-pro-master,fb258-pro-practice,breastfeeding_support_purchased,fb258_pro_accelerator_purchased,breastfeeding-support-certification,fb258-pro-accelerator,breastfeeding-support-certification,checkout-breastfeeding-support,oto-fb258-pro-accelerator,thank-you-breastfeeding-support,97,397,NOT LAUNCHED
"FERTILITY, BIRTH & POSTPARTUM",Emma,EmmaFertilityBirth,FB255,Certified Fertility Coach™,fertility,fb255-pro-advanced,fb255-pro-master,fb255-pro-practice,fertility_purchased,fb255_pro_accelerator_purchased,fertility-certification,fb255-pro-accelerator,fertility-certification,checkout-fertility,oto-fb255-pro-accelerator,thank-you-fertility,97,397,NOT LAUNCHED
"FERTILITY, BIRTH & POSTPARTUM",Emma,EmmaFertilityBirth,FB260,Certified Hypnobirthing Coach™,hypnobirthing,fb260-pro-advanced,fb260-pro-master,fb260-pro-practice,hypnobirthing_purchased,fb260_pro_accelerator_purchased,hypnobirthing-certification,fb260-pro-accelerator,hypnobirthing-certification,checkout-hypnobirthing,oto-fb260-pro-accelerator,thank-you-hypnobirthing,97,397,NOT LAUNCHED
"FERTILITY, BIRTH & POSTPARTUM",Emma,EmmaFertilityBirth,FB263,Certified IVF & Assisted Conception Support Coach™,ivf-assisted-conception-support,fb263-pro-advanced,fb263-pro-master,fb263-pro-practice,ivf_assisted_conception_support_purchased,fb263_pro_accelerator_purchased,ivf-assisted-conception-support-certification,fb263-pro-accelerator,ivf-assisted-conception-support-certification,checkout-ivf-assisted-conception-support,oto-fb263-pro-accelerator,thank-you-ivf-assisted-conception-support,97,397,NOT LAUNCHED
"FERTILITY, BIRTH & POSTPARTUM",Emma,EmmaFertilityBirth,FB262,Certified Miscarriage & Loss Support Coach™,miscarriage-loss-support,fb262-pro-advanced,fb262-pro-master,fb262-pro-practice,miscarriage_loss_support_purchased,fb262_pro_accelerator_purchased,miscarriage-loss-support-certification,fb262-pro-accelerator,miscarriage-loss-support-certification,checkout-miscarriage-loss-support,oto-fb262-pro-accelerator,thank-you-miscarriage-loss-support,97,397,NOT LAUNCHED
"FERTILITY, BIRTH & POSTPARTUM",Emma,EmmaFertilityBirth,FB257,Certified Postpartum Doula Coach™,postpartum-doula,fb257-pro-advanced,fb257-pro-master,fb257-pro-practice,postpartum_doula_purchased,fb257_pro_accelerator_purchased,postpartum-doula-certification,fb257-pro-accelerator,postpartum-doula-certification,checkout-postpartum-doula,oto-fb257-pro-accelerator,thank-you-postpartum-doula,97,397,NOT LAUNCHED
"FERTILITY, BIRTH & POSTPARTUM",Emma,EmmaFertilityBirth,FB261,Certified Pregnancy Wellness Coach™,pregnancy-wellness,fb261-pro-advanced,fb261-pro-master,fb261-pro-practice,pregnancy_wellness_purchased,fb261_pro_accelerator_purchased,pregnancy-wellness-certification,fb261-pro-accelerator,pregnancy-wellness-certification,checkout-pregnancy-wellness,oto-fb261-pro-accelerator,thank-you-pregnancy-wellness,97,397,NOT LAUNCHED
"FERTILITY, BIRTH & POSTPARTUM",Emma,EmmaFertilityBirth,FB264,Certified Surrogate & Donor Support Coach™,surrogate-donor-support,fb264-pro-advanced,fb264-pro-master,fb264-pro-practice,surrogate_donor_support_purchased,fb264_pro_accelerator_purchased,surrogate-donor-support-certification,fb264-pro-accelerator,surrogate-donor-support-certification,checkout-surrogate-donor-support,oto-fb264-pro-accelerator,thank-you-surrogate-donor-support,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA011,Certified Adoptive Family Coach™,adoptive-family,,,,,,,,,,,,97,397,NOT LAUNCHED
"FAMILY, PARENTING & SPECIAL POPULATIONS",Emma,EmmaParenting,FP90,Certified Aging Wellness Coach™,aging-wellness,fp90-pro-advanced,fp90-pro-master,fp90-pro-practice,aging_wellness_purchased,fp90_pro_accelerator_purchased,aging-wellness-certification,fp90-pro-accelerator,aging-wellness-certification,checkout-aging-wellness,oto-fp90-pro-accelerator,thank-you-aging-wellness,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA439,Certified Attachment Parenting Coach™,attachment-parenting,pa439-pro-advanced,pa439-pro-master,pa439-pro-practice,attachment_parenting_purchased,pa439_pro_accelerator_purchased,attachment-parenting-certification,pa439-pro-accelerator,attachment-parenting-certification,checkout-attachment-parenting,oto-pa439-pro-accelerator,thank-you-attachment-parenting,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA010,Certified Blended Family Coach™,blended-family,,,,,,,,,,,,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA445,Certified Child Behavior Coach™,child-behavior,pa445-pro-advanced,pa445-pro-master,pa445-pro-practice,child_behavior_purchased,pa445_pro_accelerator_purchased,child-behavior-certification,pa445-pro-accelerator,child-behavior-certification,checkout-child-behavior,oto-pa445-pro-accelerator,thank-you-child-behavior,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA444,Certified Child Sleep Coach™,child-sleep,pa444-pro-advanced,pa444-pro-master,pa444-pro-practice,child_sleep_purchased,pa444_pro_accelerator_purchased,child-sleep-certification,pa444-pro-accelerator,child-sleep-certification,checkout-child-sleep,oto-pa444-pro-accelerator,thank-you-child-sleep,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA020,Certified College Prep & Launch Coach™,college-prep,,,,,,,,,,,,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA436,Certified Conscious Parenting Coach™,conscious-parenting,pa436-pro-advanced,pa436-pro-master,pa436-pro-practice,conscious_parenting_purchased,pa436_pro_accelerator_purchased,conscious-parenting-certification,pa436-pro-accelerator,conscious-parenting-certification,checkout-conscious-parenting,oto-pa436-pro-accelerator,thank-you-conscious-parenting,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA023,Certified Digital Parenting Coach™,digital-parenting,,,,,,,,,,,,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA021,Certified Empty Nest Transition Coach™,empty-nest,,,,,,,,,,,,97,397,NOT LAUNCHED
"FAMILY, PARENTING & SPECIAL POPULATIONS",Emma,EmmaParenting,FP85,Certified Family Health & Nutrition Coach™,family-health-nutrition,fp85-pro-advanced,fp85-pro-master,fp85-pro-practice,family_health_nutrition_purchased,fp85_pro_accelerator_purchased,family-health-nutrition-certification,fp85-pro-accelerator,family-health-nutrition-certification,checkout-family-health-nutrition,oto-fp85-pro-accelerator,thank-you-family-health-nutrition,97,397,NOT LAUNCHED
"FAMILY, PARENTING & SPECIAL POPULATIONS",Emma,EmmaParenting,FP93,Certified Family Immune Health Coach™,family-immune-health,fp93-pro-advanced,fp93-pro-master,fp93-pro-practice,family_immune_health_purchased,fp93_pro_accelerator_purchased,family-immune-health-certification,fp93-pro-accelerator,family-immune-health-certification,checkout-family-immune-health,oto-fp93-pro-accelerator,thank-you-family-immune-health,97,397,NOT LAUNCHED
"FAMILY, PARENTING & SPECIAL POPULATIONS",Emma,EmmaParenting,FP91,Certified Family Stress Health Coach™,family-stress-health,fp91-pro-advanced,fp91-pro-master,fp91-pro-practice,family_stress_health_purchased,fp91_pro_accelerator_purchased,family-stress-health-certification,fp91-pro-accelerator,family-stress-health-certification,checkout-family-stress-health,oto-fp91-pro-accelerator,thank-you-family-stress-health,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA012,Certified Foster Parent Coach™,foster-parent,,,,,,,,,,,,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA438,Certified Gentle Parenting Coach™,gentle-parenting,pa438-pro-advanced,pa438-pro-master,pa438-pro-practice,gentle_parenting_purchased,pa438_pro_accelerator_purchased,gentle-parenting-certification,pa438-pro-accelerator,gentle-parenting-certification,checkout-gentle-parenting,oto-pa438-pro-accelerator,thank-you-gentle-parenting,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA022,Certified Grandparent Coach™,grandparent-coach,,,,,,,,,,,,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA442,Certified High-Conflict Co-Parenting Coach™,high-conflict-co-parenting,pa442-pro-advanced,pa442-pro-master,pa442-pro-practice,high_conflict_co_parenting_purchased,pa442_pro_accelerator_purchased,high-conflict-co-parenting-certification,pa442-pro-accelerator,high-conflict-co-parenting-certification,checkout-high-conflict-co-parenting,oto-pa442-pro-accelerator,thank-you-high-conflict-co-parenting,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA005,Certified Homeschool Learning Coach™,homeschool-coach,,,,,,,,,,,,97,397,NOT LAUNCHED
"FAMILY, PARENTING & SPECIAL POPULATIONS",Emma,EmmaParenting,FP86,Certified Kids Gut & Nutrition Health Coach™,kids-gut-nutrition-health,fp86-pro-advanced,fp86-pro-master,fp86-pro-practice,kids_gut_nutrition_health_purchased,fp86_pro_accelerator_purchased,kids-gut-nutrition-health-certification,fp86-pro-accelerator,kids-gut-nutrition-health-certification,checkout-kids-gut-nutrition-health,oto-fp86-pro-accelerator,thank-you-kids-gut-nutrition-health,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA013,Certified Kinship Care Coach™,kinship-care,,,,,,,,,,,,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA001,Certified Montessori Parent Coach™,montessori-parent,,,,,,,,,,,,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA007,Certified No-Drama Discipline Coach™,no-drama-discipline,,,,,,,,,,,,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA009,Certified Only Child Development Coach™,only-child,,,,,,,,,,,,97,397,NOT LAUNCHED
"FAMILY, PARENTING & SPECIAL POPULATIONS",Emma,EmmaParenting,FP94,Certified Parenting & Emotional Health Coach™,parenting-emotional-health,fp94-pro-advanced,fp94-pro-master,fp94-pro-practice,parenting_emotional_health_purchased,fp94_pro_accelerator_purchased,parenting-emotional-health-certification,fp94-pro-accelerator,parenting-emotional-health-certification,checkout-parenting-emotional-health,oto-fp94-pro-accelerator,thank-you-parenting-emotional-health,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA443,Certified Parenting with ADHD Coach™,parenting-with-adhd,pa443-pro-advanced,pa443-pro-master,pa443-pro-practice,parenting_with_adhd_purchased,pa443_pro_accelerator_purchased,parenting-with-adhd-certification,pa443-pro-accelerator,parenting-with-adhd-certification,checkout-parenting-with-adhd,oto-pa443-pro-accelerator,thank-you-parenting-with-adhd,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA006,Certified Peaceful Parenting Coach™,peaceful-parenting,,,,,,,,,,,,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA437,Certified Positive Parenting Coach™,positive-parenting,pa437-pro-advanced,pa437-pro-master,pa437-pro-practice,positive_parenting_purchased,pa437_pro_accelerator_purchased,positive-parenting-certification,pa437-pro-accelerator,positive-parenting-certification,checkout-positive-parenting,oto-pa437-pro-accelerator,thank-you-positive-parenting,97,397,NOT LAUNCHED
"FAMILY, PARENTING & SPECIAL POPULATIONS",Emma,EmmaParenting,FP88,Certified Postpartum Wellness Coach™,postpartum-wellness,fp88-pro-advanced,fp88-pro-master,fp88-pro-practice,postpartum_wellness_purchased,fp88_pro_accelerator_purchased,postpartum-wellness-certification,fp88-pro-accelerator,postpartum-wellness-certification,checkout-postpartum-wellness,oto-fp88-pro-accelerator,thank-you-postpartum-wellness,97,397,NOT LAUNCHED
"FAMILY, PARENTING & SPECIAL POPULATIONS",Emma,EmmaParenting,FP87,Certified Pregnancy Nutrition Coach™,pregnancy-nutrition,fp87-pro-advanced,fp87-pro-master,fp87-pro-practice,pregnancy_nutrition_purchased,fp87_pro_accelerator_purchased,pregnancy-nutrition-certification,fp87-pro-accelerator,pregnancy-nutrition-certification,checkout-pregnancy-nutrition,oto-fp87-pro-accelerator,thank-you-pregnancy-nutrition,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA002,Certified RIE Parenting Coach™,rie-parenting,,,,,,,,,,,,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA446,Certified School Refusal Coach™,school-refusal,pa446-pro-advanced,pa446-pro-master,pa446-pro-practice,school_refusal_purchased,pa446_pro_accelerator_purchased,school-refusal-certification,pa446-pro-accelerator,school-refusal-certification,checkout-school-refusal,oto-pa446-pro-accelerator,thank-you-school-refusal,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA017,Certified School Refusal Specialist™,school-refusal,,,,,,,,,,,,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA024,Certified Screen Time Coach™,screen-time,,,,,,,,,,,,97,397,NOT LAUNCHED
PARENTING,Emma,EmmaParenting,PA016,Certified Selective Mutism Coach™,selective-mutism,,,,,,,,,,,,97,397,NOT LAUNCHED
